"Date","Price","Open","High","Low","Vol.","Change %"
"31-05-2023","69.05","67.30","70.00","66.30","251.81M","3.29%"
"30-05-2023","66.85","67.50","68.30","66.45","60.70M","-0.37%"
"29-05-2023","67.10","67.80","68.40","66.60","56.97M","-0.22%"
"26-05-2023","67.25","67.30","68.25","65.75","86.47M","-0.07%"
"25-05-2023","67.30","64.80","68.20","64.50","139.72M","4.42%"
"24-05-2023","64.45","63.00","64.70","62.75","60.48M","1.98%"
"23-05-2023","63.20","63.05","64.00","62.55","50.80M","-0.47%"
"22-05-2023","63.50","64.70","66.85","61.80","147.01M","-1.55%"
"19-05-2023","64.50","63.95","65.00","63.20","73.62M","1.57%"
"18-05-2023","63.50","64.20","64.60","63.10","54.30M","0.24%"
"17-05-2023","63.35","63.00","64.05","62.25","47.44M","0.56%"
"16-05-2023","63.00","64.00","65.00","62.40","59.31M","-1.10%"
"15-05-2023","63.70","62.10","64.10","61.95","55.89M","1.76%"
"12-05-2023","62.60","62.50","63.65","61.60","73.16M","0.32%"
"11-05-2023","62.40","62.60","63.50","62.00","75.06M","0.97%"
"10-05-2023","61.80","61.00","62.90","60.95","70.22M","1.39%"
"09-05-2023","60.95","64.70","64.70","60.30","127.85M","-6.09%"
"08-05-2023","64.90","64.60","66.20","63.50","104.94M","-0.76%"
"05-05-2023","65.40","65.50","66.70","64.25","94.02M","-0.46%"
"04-05-2023","65.70","63.50","66.60","63.35","123.04M","3.38%"
"03-05-2023","63.55","63.45","64.95","63.15","65.08M","0.16%"
"02-05-2023","63.45","64.50","65.65","63.05","112.76M","-2.23%"
"28-04-2023","64.90","60.80","66.00","59.55","190.94M","6.92%"
"27-04-2023","60.70","58.60","61.15","58.35","82.97M","4.30%"
"26-04-2023","58.20","58.10","59.00","57.10","59.77M","0.78%"
"25-04-2023","57.75","56.40","60.60","56.20","199.06M","3.13%"
"24-04-2023","56.00","55.50","56.40","54.70","43.29M","-0.09%"
"21-04-2023","56.05","54.30","56.75","54.10","106.71M","3.41%"
"20-04-2023","54.20","54.15","54.40","53.65","23.10M","0.09%"
"19-04-2023","54.15","53.60","55.95","53.20","62.02M","1.59%"
"18-04-2023","53.30","54.05","54.20","53.05","27.62M","-1.20%"
"17-04-2023","53.95","54.20","54.25","53.00","24.79M","0.19%"
"13-04-2023","53.85","53.20","54.15","52.85","26.65M","1.22%"
"12-04-2023","53.20","54.25","54.25","52.90","30.85M","-1.39%"
"11-04-2023","53.95","54.65","55.25","53.25","41.10M","0.00%"
"10-04-2023","53.95","52.15","54.20","51.80","60.66M","3.45%"
"06-04-2023","52.15","51.75","52.45","51.30","19.70M","0.87%"
"05-04-2023","51.70","52.10","52.90","51.55","25.50M","-0.48%"
"03-04-2023","51.95","51.50","52.15","50.90","29.24M","1.86%"
"31-03-2023","51.00","51.25","51.70","50.65","56.57M","-0.49%"
"29-03-2023","51.25","50.25","51.75","49.60","41.46M","1.99%"
"28-03-2023","50.25","50.20","50.55","49.00","50.43M","0.30%"
"27-03-2023","50.10","50.70","51.30","49.25","49.62M","-1.09%"
"24-03-2023","50.65","52.50","52.85","50.15","67.24M","-3.80%"
"23-03-2023","52.65","52.90","53.20","52.10","32.82M","-0.85%"
"22-03-2023","53.10","53.40","53.90","52.70","38.44M","0.19%"
"21-03-2023","53.00","53.85","54.15","52.65","31.63M","-1.03%"
"20-03-2023","53.55","53.60","54.75","52.20","65.58M","-2.46%"
"17-03-2023","54.90","53.45","55.75","53.05","112.92M","3.49%"
"16-03-2023","53.05","50.90","53.70","49.85","61.24M","4.53%"
"15-03-2023","50.75","51.50","52.20","50.55","38.76M","0.00%"
"14-03-2023","50.75","52.00","52.50","50.20","52.25M","-2.22%"
"13-03-2023","51.90","53.95","54.70","51.60","52.37M","-3.62%"
"10-03-2023","53.85","53.80","54.50","53.30","39.23M","-0.37%"
"09-03-2023","54.05","55.10","56.35","53.90","56.02M","-1.37%"
"08-03-2023","54.80","53.45","55.30","52.65","44.16M","1.58%"
"06-03-2023","53.95","54.00","54.95","53.70","33.49M","0.56%"
"03-03-2023","53.65","54.90","55.40","53.20","36.94M","-1.65%"
"02-03-2023","54.55","54.75","55.20","54.35","36.26M","-0.73%"
"01-03-2023","54.95","53.50","55.35","53.35","42.85M","2.71%"
"28-02-2023","53.50","53.70","54.40","53.00","45.41M","-0.19%"
"27-02-2023","53.60","54.70","54.75","53.20","38.74M","-1.56%"
"24-02-2023","54.45","55.50","56.75","54.00","73.44M","-0.91%"
"23-02-2023","54.95","53.00","56.00","52.80","118.06M","3.78%"
"22-02-2023","52.95","54.85","55.40","52.60","75.80M","-4.34%"
"21-02-2023","55.35","54.60","56.15","54.40","100.11M","1.37%"
"20-02-2023","54.60","51.90","55.05","51.75","93.32M","5.41%"
"17-02-2023","51.80","51.25","52.20","50.70","52.86M","0.78%"
"16-02-2023","51.40","50.80","51.80","50.45","48.84M","2.29%"
"15-02-2023","50.25","50.55","50.90","49.80","49.66M","-0.20%"
"14-02-2023","50.35","51.80","52.50","49.90","79.40M","-2.80%"
"13-02-2023","51.80","53.00","53.70","51.25","86.16M","-2.81%"
"10-02-2023","53.30","52.70","54.15","50.70","176.95M","-2.02%"
"09-02-2023","54.40","54.70","56.80","53.40","216.40M","0.18%"
"08-02-2023","54.30","51.20","55.30","51.10","265.60M","10.03%"
"07-02-2023","49.35","48.00","51.00","47.60","61.08M","3.35%"
"06-02-2023","47.75","48.70","49.10","47.55","35.96M","-2.05%"
"03-02-2023","48.75","48.15","49.25","47.70","42.50M","2.63%"
"02-02-2023","47.50","48.40","48.90","47.15","40.75M","-1.35%"
"01-02-2023","48.15","50.00","51.05","47.05","68.75M","-3.22%"
"31-01-2023","49.75","48.00","50.70","46.45","95.40M","4.96%"
"30-01-2023","47.40","47.90","48.55","46.70","54.38M","0.96%"
"27-01-2023","46.95","49.00","51.80","46.70","169.79M","-1.68%"
"25-01-2023","47.75","52.00","52.05","44.35","237.76M","-8.35%"
"24-01-2023","52.10","51.00","52.30","50.65","47.72M","2.16%"
"23-01-2023","51.00","51.90","51.90","50.65","24.66M","-0.87%"
"20-01-2023","51.45","51.40","52.25","50.55","47.36M","0.68%"
"19-01-2023","51.10","50.30","51.90","50.05","54.52M","0.20%"
"18-01-2023","51.00","50.40","51.45","48.85","84.54M","1.69%"
"17-01-2023","50.15","53.00","53.10","50.00","77.12M","-4.84%"
"16-01-2023","52.70","54.00","54.30","52.50","35.89M","-1.03%"
"13-01-2023","53.25","54.10","54.50","53.05","38.74M","-0.93%"
"12-01-2023","53.75","54.70","55.00","52.95","38.86M","-1.10%"
"11-01-2023","54.35","55.00","56.15","54.10","32.63M","-0.64%"
"10-01-2023","54.70","56.00","56.15","53.80","45.97M","-2.32%"
"09-01-2023","56.00","56.00","57.25","55.75","35.49M","1.36%"
"06-01-2023","55.25","56.20","56.40","54.95","30.27M","-1.69%"
"05-01-2023","56.20","56.95","57.10","55.60","34.45M","-0.27%"
"04-01-2023","56.35","58.40","58.70","56.00","48.98M","-4.41%"
"03-01-2023","58.95","58.85","59.55","57.30","49.70M","-2.24%"
"02-01-2023","60.30","60.65","60.70","59.80","18.76M","1.69%"
"30-12-2022","59.30","61.00","61.45","59.00","33.25M","-2.55%"
"29-12-2022","60.85","59.50","61.55","59.00","24.97M","1.16%"
"28-12-2022","60.15","58.50","60.80","57.85","70.50M","2.04%"
"27-12-2022","58.95","59.40","60.60","58.50","54.21M","1.38%"
"26-12-2022","58.15","53.95","59.75","53.45","83.57M","8.39%"
"23-12-2022","53.65","58.30","58.35","53.20","93.02M","-8.99%"
"22-12-2022","58.95","61.80","62.05","58.55","53.94M","-3.91%"
"21-12-2022","61.35","63.20","63.50","60.85","39.98M","-2.39%"
"20-12-2022","62.85","62.10","63.20","61.90","32.49M","1.13%"
"19-12-2022","62.15","62.40","62.80","62.00","21.47M","0.00%"
"16-12-2022","62.15","63.75","64.00","61.85","48.22M","-3.12%"
"15-12-2022","64.15","64.95","65.25","63.80","19.01M","-1.31%"
"14-12-2022","65.00","64.85","65.45","64.60","24.60M","0.62%"
"13-12-2022","64.60","64.80","65.20","64.35","21.92M","0.31%"
"12-12-2022","64.40","64.15","64.75","63.60","20.60M","0.39%"
"09-12-2022","64.15","64.20","64.85","63.90","36.49M","0.55%"
"08-12-2022","63.80","64.80","64.80","63.65","35.34M","-1.01%"
"07-12-2022","64.45","65.10","65.40","64.10","29.78M","-0.54%"
"06-12-2022","64.80","64.75","65.45","64.45","40.04M","-0.99%"
"05-12-2022","65.45","68.85","69.00","65.00","85.11M","-4.52%"
"02-12-2022","68.55","66.75","68.90","66.50","96.26M","2.85%"
"01-12-2022","66.65","66.50","67.15","65.40","83.61M","2.15%"
"30-11-2022","65.25","63.00","66.80","61.90","549.72M","2.68%"
"29-11-2022","63.55","64.40","64.90","63.00","32.23M","-1.32%"
"28-11-2022","64.40","64.25","65.30","63.80","53.45M","0.63%"
"25-11-2022","64.00","64.00","64.90","63.05","74.24M","1.27%"
"24-11-2022","63.20","62.30","64.10","62.05","90.68M","2.35%"
"23-11-2022","61.75","63.50","64.30","61.40","69.82M","-3.44%"
"22-11-2022","63.95","64.90","64.90","63.30","50.72M","-0.54%"
"21-11-2022","64.30","66.40","66.40","63.80","86.00M","-4.24%"
"18-11-2022","67.15","68.15","69.35","66.90","62.86M","-0.81%"
"17-11-2022","67.70","68.40","69.80","67.50","60.12M","-1.46%"
"16-11-2022","68.70","69.95","70.50","67.70","75.43M","-1.79%"
"15-11-2022","69.95","69.60","71.15","69.10","68.40M","0.50%"
"14-11-2022","69.60","74.30","75.45","69.05","186.73M","-4.40%"
"11-11-2022","72.80","66.00","73.55","65.50","397.76M","13.84%"
"10-11-2022","63.95","65.50","65.95","63.15","44.33M","-2.07%"
"09-11-2022","65.30","65.45","67.50","65.00","87.42M","0.31%"
"07-11-2022","65.10","63.85","65.45","63.25","56.82M","3.33%"
"04-11-2022","63.00","62.75","63.65","62.45","35.30M","1.29%"
"03-11-2022","62.20","62.80","62.80","62.00","31.73M","-1.27%"
"02-11-2022","63.00","63.75","64.70","62.70","52.92M","-0.79%"
"01-11-2022","63.50","63.50","63.75","62.70","50.43M","0.63%"
"31-10-2022","63.10","63.60","63.85","62.10","45.95M","0.80%"
"28-10-2022","62.60","65.25","65.70","62.30","56.79M","-3.84%"
"27-10-2022","65.10","64.10","65.65","63.50","64.85M","0.77%"
"25-10-2022","64.60","62.70","64.90","62.40","81.04M","3.61%"
"24-10-2022","62.35","62.90","62.95","62.05","7.78M","0.89%"
"21-10-2022","61.80","61.80","63.20","61.30","65.83M","0.82%"
"20-10-2022","61.30","61.70","62.00","60.85","57.51M","-1.21%"
"19-10-2022","62.05","63.40","63.70","61.50","52.64M","-1.51%"
"18-10-2022","63.00","63.65","64.40","62.75","49.43M","0.56%"
"17-10-2022","62.65","61.90","63.25","61.15","56.01M","1.21%"
"14-10-2022","61.90","63.00","64.15","61.60","85.14M","1.06%"
"13-10-2022","61.25","64.10","64.65","61.00","73.75M","-3.92%"
"12-10-2022","63.75","65.65","66.45","63.05","67.80M","-2.75%"
"11-10-2022","65.55","68.40","69.20","65.00","70.17M","-4.59%"
"10-10-2022","68.70","68.40","69.70","67.50","87.16M","-1.22%"
"07-10-2022","69.55","65.15","70.20","64.60","170.88M","6.10%"
"06-10-2022","65.55","64.40","66.15","64.25","59.87M","2.34%"
"04-10-2022","64.05","63.10","64.45","63.00","47.08M","3.47%"
"03-10-2022","61.90","62.00","63.10","61.20","44.53M","-0.72%"
"30-09-2022","62.35","61.50","62.85","59.75","71.49M","1.88%"
"29-09-2022","61.20","59.20","62.00","58.90","76.97M","5.43%"
"28-09-2022","58.05","57.80","59.25","57.50","64.33M","-1.36%"
"27-09-2022","58.85","58.15","59.75","56.95","79.64M","1.82%"
"26-09-2022","57.80","60.00","60.65","57.40","65.83M","-4.93%"
"23-09-2022","60.80","63.00","63.35","60.40","56.73M","-3.95%"
"22-09-2022","63.30","62.90","63.75","62.60","34.72M","-0.24%"
"21-09-2022","63.45","63.30","63.95","62.40","59.13M","0.95%"
"20-09-2022","62.85","64.90","65.70","62.40","77.90M","-1.72%"
"19-09-2022","63.95","64.20","65.45","63.45","70.45M","1.19%"
"16-09-2022","63.20","64.40","65.00","61.10","196.54M","-2.17%"
"15-09-2022","64.60","64.00","64.90","63.30","88.19M","2.05%"
"14-09-2022","63.30","64.05","65.15","62.75","119.82M","-3.28%"
"13-09-2022","65.45","63.00","66.60","62.80","199.03M","4.64%"
"12-09-2022","62.55","63.00","63.20","62.25","64.04M","-0.40%"
"09-09-2022","62.80","62.00","63.65","62.00","139.37M","2.36%"
"08-09-2022","61.35","60.35","62.50","59.80","128.43M","3.11%"
"07-09-2022","59.50","59.65","60.40","59.20","59.84M","-0.34%"
"06-09-2022","59.70","60.30","60.80","59.40","70.19M","0.08%"
"05-09-2022","59.65","60.45","60.80","59.30","84.54M","-0.17%"
"02-09-2022","59.75","63.40","63.40","59.40","137.95M","-4.32%"
"01-09-2022","62.45","58.70","63.15","58.25","192.48M","7.77%"
"30-08-2022","57.95","60.20","61.25","57.30","162.05M","-2.11%"
"29-08-2022","59.20","59.70","60.55","58.35","98.49M","-4.28%"
"26-08-2022","61.85","62.40","62.70","60.55","87.94M","-0.40%"
"25-08-2022","62.10","62.80","63.20","61.65","81.14M","-0.16%"
"24-08-2022","62.20","64.10","64.20","61.70","116.40M","-3.49%"
"23-08-2022","64.45","62.30","65.25","62.15","218.59M","3.95%"
"22-08-2022","62.00","61.00","62.85","59.25","226.77M","0.90%"
"19-08-2022","61.45","67.40","68.25","60.15","295.74M","-8.42%"
"18-08-2022","67.10","65.60","69.25","65.00","303.57M","2.84%"
"17-08-2022","65.25","64.80","65.60","61.80","258.07M","1.56%"
"16-08-2022","64.25","62.65","67.45","62.50","250.69M","4.05%"
"12-08-2022","61.75","58.10","63.10","57.90","351.21M","6.65%"
"11-08-2022","57.90","56.90","58.15","56.35","130.94M","3.49%"
"10-08-2022","55.95","56.20","56.55","54.50","200.70M","0.90%"
"08-08-2022","55.45","54.70","56.20","54.20","178.19M","1.56%"
"05-08-2022","54.60","57.90","59.15","53.25","315.02M","-5.62%"
"04-08-2022","57.85","55.75","58.65","54.50","420.18M","4.33%"
"03-08-2022","55.45","52.50","56.90","51.75","599.69M","-0.18%"
"02-08-2022","55.55","50.00","55.55","48.40","528.90M","19.98%"
"01-08-2022","46.30","46.80","47.25","45.05","135.94M","-1.07%"
"29-07-2022","46.80","45.60","47.20","44.55","177.19M","2.41%"
"28-07-2022","45.70","44.90","46.30","43.05","267.54M","3.98%"
"27-07-2022","43.95","40.85","44.40","40.60","411.21M","5.52%"
"26-07-2022","41.65","46.60","46.65","41.20","412.30M","-12.50%"
"25-07-2022","47.60","52.50","52.50","46.00","232.84M","-11.28%"
"22-07-2022","53.65","53.75","54.00","52.90","27.30M","0.28%"
"21-07-2022","53.50","53.35","54.45","52.70","29.40M","0.19%"
"20-07-2022","53.40","54.50","54.50","53.20","37.68M","-1.02%"
"19-07-2022","53.95","53.65","54.40","53.30","35.43M","0.65%"
"18-07-2022","53.60","54.70","55.10","52.85","47.69M","-0.56%"
"15-07-2022","53.90","56.20","56.20","53.35","48.00M","-3.14%"
"14-07-2022","55.65","58.40","59.00","55.30","43.02M","-4.63%"
"13-07-2022","58.35","59.00","61.50","58.00","73.38M","-1.10%"
"12-07-2022","59.00","55.90","59.65","55.50","57.99M","5.17%"
"11-07-2022","56.10","54.70","56.50","54.20","21.74M","2.37%"
"08-07-2022","54.80","55.00","55.30","54.30","21.41M","0.64%"
"07-07-2022","54.45","54.65","55.15","53.75","35.76M","0.18%"
"06-07-2022","54.35","55.80","55.80","53.90","32.40M","-1.98%"
"05-07-2022","55.45","55.40","55.90","54.35","51.28M","2.12%"
"04-07-2022","54.30","54.50","55.80","53.30","56.90M","-3.29%"
"01-07-2022","56.15","54.15","56.70","52.55","112.08M","4.27%"
"30-06-2022","53.85","57.80","59.00","53.35","106.89M","-6.02%"
"29-06-2022","57.30","58.75","61.45","56.85","96.96M","-4.98%"
"28-06-2022","60.30","65.70","65.70","59.65","120.96M","-8.43%"
"27-06-2022","65.85","72.65","72.70","65.00","110.75M","-6.60%"
"24-06-2022","70.50","71.00","71.85","69.55","23.95M","1.37%"
"23-06-2022","69.55","67.05","70.00","66.50","33.79M","2.88%"
"22-06-2022","67.60","65.95","68.60","65.00","35.03M","2.35%"
"21-06-2022","66.05","65.50","67.25","65.35","22.91M","1.62%"
"20-06-2022","65.00","68.00","68.00","64.05","27.41M","-3.06%"
"17-06-2022","67.05","65.65","69.40","65.30","33.60M","-0.22%"
"16-06-2022","67.20","72.00","72.00","66.10","41.88M","-4.27%"
"15-06-2022","70.20","70.65","71.90","68.95","33.25M","0.29%"
"14-06-2022","70.00","64.20","70.75","64.00","66.68M","3.70%"
"13-06-2022","67.50","67.50","68.30","65.40","34.86M","-2.17%"
"10-06-2022","69.00","67.30","69.70","66.50","42.04M","0.44%"
"09-06-2022","68.70","66.20","69.70","65.00","47.65M","2.31%"
"08-06-2022","67.15","66.00","68.60","64.10","46.70M","2.68%"
"07-06-2022","65.40","69.70","69.70","64.75","41.76M","-6.44%"
"06-06-2022","69.90","70.00","71.20","69.20","30.08M","-3.12%"
"03-06-2022","72.15","73.90","74.85","71.20","35.78M","0.28%"
"02-06-2022","71.95","74.40","74.40","71.40","47.87M","-3.68%"
"01-06-2022","74.70","75.40","79.80","73.10","127.95M","0.07%"
"31-05-2022","74.65","68.50","77.70","67.40","184.33M","5.07%"
"30-05-2022","71.05","63.25","72.10","62.60","124.10M","14.50%"
"27-05-2022","62.05","63.00","63.00","61.50","32.06M","2.65%"
"26-05-2022","60.45","61.00","62.50","59.60","46.56M","-2.97%"
"25-05-2022","62.30","65.70","66.90","60.65","104.45M","-4.08%"
"24-05-2022","64.95","57.95","67.60","57.90","193.58M","13.85%"
"23-05-2022","57.05","58.70","60.50","56.60","36.83M","-1.72%"
"20-05-2022","58.05","56.50","58.75","56.40","32.41M","4.88%"
"19-05-2022","55.35","56.50","56.85","54.80","31.97M","-5.79%"
"18-05-2022","58.75","56.10","59.60","55.85","57.73M","4.63%"
"17-05-2022","56.15","56.10","56.70","55.15","21.46M","-0.44%"
"16-05-2022","56.40","56.85","57.70","54.75","37.04M","-0.79%"
"13-05-2022","56.85","53.30","59.20","52.25","79.29M","9.43%"
"12-05-2022","51.95","53.80","53.90","51.05","37.34M","-4.15%"
"11-05-2022","54.20","52.00","56.45","50.30","99.81M","3.34%"
"10-05-2022","52.45","55.75","56.75","50.05","45.14M","-7.58%"
"09-05-2022","56.75","59.60","60.40","55.65","38.28M","-6.20%"
"06-05-2022","60.50","59.30","62.30","57.65","47.19M","-1.06%"
"05-05-2022","61.15","65.75","66.65","60.50","40.30M","-5.12%"
"04-05-2022","64.45","69.75","70.00","63.90","43.05M","-7.27%"
"02-05-2022","69.50","71.75","71.90","68.75","18.46M","-3.14%"
"29-04-2022","71.75","74.70","74.85","71.10","24.87M","-2.84%"
"28-04-2022","73.85","77.35","77.60","73.50","21.34M","-2.64%"
"27-04-2022","75.85","79.40","79.60","75.50","23.63M","-4.71%"
"26-04-2022","79.60","80.60","80.90","78.60","9.55M","1.08%"
"25-04-2022","78.75","80.50","81.60","78.60","16.72M","-3.02%"
"22-04-2022","81.20","80.70","81.80","80.20","7.21M","0.50%"
"21-04-2022","80.80","81.10","81.85","80.65","6.78M","0.62%"
"20-04-2022","80.30","81.60","82.30","80.00","12.80M","-0.19%"
"19-04-2022","80.45","83.10","83.90","79.45","13.44M","-2.96%"
"18-04-2022","82.90","83.70","84.40","82.55","14.21M","-1.19%"
"13-04-2022","83.90","82.50","88.30","82.15","52.99M","2.94%"
"12-04-2022","81.50","84.30","84.30","81.00","12.91M","-3.49%"
"11-04-2022","84.45","83.15","85.85","83.00","17.61M","1.26%"
"08-04-2022","83.40","83.50","85.50","82.75","14.85M","1.09%"
"07-04-2022","82.50","84.80","85.25","82.25","9.71M","-2.42%"
"06-04-2022","84.55","83.75","85.30","83.15","10.70M","0.77%"
"05-04-2022","83.90","83.00","85.15","82.35","28.43M","-2.72%"
"04-04-2022","86.25","84.40","87.70","84.40","18.04M","2.31%"
"01-04-2022","84.30","82.10","85.60","82.05","15.59M","2.43%"
"31-03-2022","82.30","88.70","88.70","81.75","34.67M","-3.23%"
"30-03-2022","85.05","79.00","86.00","78.50","41.31M","8.76%"
"29-03-2022","78.20","80.05","80.50","78.05","13.47M","-1.82%"
"28-03-2022","79.65","80.60","81.00","79.15","10.04M","-1.18%"
"25-03-2022","80.60","81.00","81.85","80.25","13.59M","0.31%"
"24-03-2022","80.35","80.70","82.35","80.05","13.00M","-0.50%"
"23-03-2022","80.75","82.00","82.00","80.20","12.52M","-0.49%"
"22-03-2022","81.15","80.95","81.90","79.30","23.80M","0.93%"
"21-03-2022","80.40","82.00","83.30","79.25","28.67M","-0.56%"
"17-03-2022","80.85","77.20","82.00","76.80","34.44M","6.45%"
"16-03-2022","75.95","80.00","80.00","75.50","42.38M","-0.78%"
"15-03-2022","76.55","79.30","79.60","76.00","18.90M","-3.47%"
"14-03-2022","79.30","80.70","80.70","79.00","7.26M","-0.75%"
"11-03-2022","79.90","82.40","82.40","79.50","18.97M","-2.80%"
"10-03-2022","82.20","82.55","83.95","81.70","13.48M","2.30%"
"09-03-2022","80.35","79.45","80.65","78.90","11.89M","2.82%"
"08-03-2022","78.15","79.25","80.60","77.60","12.38M","-1.08%"
"07-03-2022","79.00","79.00","79.65","78.00","9.77M","-1.50%"
"04-03-2022","80.20","80.50","82.90","79.50","15.15M","-2.43%"
"03-03-2022","82.20","81.50","83.20","81.20","16.07M","2.94%"
"02-03-2022","79.85","80.00","82.00","79.00","20.35M","-0.13%"
"28-02-2022","79.95","79.00","80.95","76.55","41.98M","1.46%"
"25-02-2022","78.80","82.00","83.40","78.15","22.88M","0.38%"
"24-02-2022","78.50","78.65","81.50","78.10","22.04M","-6.71%"
"23-02-2022","84.15","82.00","85.15","81.20","19.85M","5.58%"
"22-02-2022","79.70","78.00","80.55","77.00","28.82M","-2.27%"
"21-02-2022","81.55","84.20","84.80","80.65","18.85M","-5.06%"
"18-02-2022","85.90","88.10","88.40","85.20","15.04M","-3.65%"
"17-02-2022","89.15","86.50","90.10","85.90","29.57M","4.94%"
"16-02-2022","84.95","85.00","87.00","84.25","33.11M","2.72%"
"15-02-2022","82.70","83.50","84.65","75.75","106.22M","0.30%"
"14-02-2022","82.45","87.00","87.00","80.55","35.05M","-7.05%"
"11-02-2022","88.70","92.75","92.75","86.50","39.98M","-6.09%"
"10-02-2022","94.45","94.90","95.40","93.00","13.26M","0.27%"
"09-02-2022","94.20","94.50","95.45","93.60","7.88M","0.69%"
"08-02-2022","93.55","94.35","94.65","91.25","9.03M","0.00%"
"07-02-2022","93.55","95.10","95.50","93.35","10.90M","-0.69%"
"04-02-2022","94.20","97.20","97.85","93.60","15.35M","-2.99%"
"03-02-2022","97.10","98.50","98.50","96.10","9.77M","-1.82%"
"02-02-2022","98.90","95.75","99.75","94.80","18.67M","4.60%"
"01-02-2022","94.55","91.75","95.80","91.05","32.61M","4.59%"
"31-01-2022","90.40","91.35","92.50","89.65","20.20M","0.95%"
"28-01-2022","89.55","93.60","96.45","88.80","61.45M","-1.05%"
"27-01-2022","90.50","98.00","98.00","90.45","106.49M","-9.91%"
"25-01-2022","100.45","90.95","100.45","84.15","138.34M","9.96%"
"24-01-2022","91.35","114.00","114.20","90.95","167.04M","-19.62%"
"21-01-2022","113.65","125.15","125.15","112.55","59.81M","-9.23%"
"20-01-2022","125.20","127.95","130.70","125.00","23.29M","-3.10%"
"19-01-2022","129.20","131.70","132.40","128.25","27.81M","-2.89%"
"18-01-2022","133.05","134.50","134.60","132.80","9.43M","-0.71%"
"17-01-2022","134.00","133.60","134.50","133.00","7.52M","0.30%"
"14-01-2022","133.60","133.10","134.45","132.05","9.44M","0.38%"
"13-01-2022","133.10","132.50","133.45","132.35","6.54M","0.64%"
"12-01-2022","132.25","132.10","132.90","131.60","8.00M","0.72%"
"11-01-2022","131.30","131.00","132.50","130.00","15.40M","0.84%"
"10-01-2022","130.20","130.50","130.90","129.40","11.39M","0.74%"
"07-01-2022","129.25","130.00","131.45","129.00","22.85M","-0.58%"
"06-01-2022","130.00","133.00","133.15","129.60","23.78M","-2.95%"
"05-01-2022","133.95","137.90","137.90","133.30","15.88M","-3.18%"
"04-01-2022","138.35","141.35","141.55","137.60","10.71M","-2.12%"
"03-01-2022","141.35","139.70","142.45","138.30","22.52M","2.87%"
"31-12-2021","137.40","133.85","138.40","133.40","11.45M","2.58%"
"30-12-2021","133.95","137.05","137.05","133.30","8.37M","-2.30%"
"29-12-2021","137.10","132.70","137.70","131.55","18.91M","3.20%"
"28-12-2021","132.85","133.70","134.00","131.65","11.17M","0.08%"
"27-12-2021","132.75","131.35","133.85","128.00","13.93M","0.99%"
"24-12-2021","131.45","134.50","134.50","129.60","17.63M","-1.17%"
"23-12-2021","133.00","140.05","140.75","132.10","21.94M","-4.08%"
"22-12-2021","138.65","133.05","139.75","133.00","19.43M","5.36%"
"21-12-2021","131.60","128.85","132.85","128.60","20.44M","3.99%"
"20-12-2021","126.55","135.30","135.75","124.60","36.06M","-6.50%"
"17-12-2021","135.35","138.95","141.00","132.35","95.39M","-2.20%"
"16-12-2021","138.40","141.90","142.85","137.40","17.18M","-1.56%"
"15-12-2021","140.60","140.50","142.00","140.00","12.79M","-0.04%"
"14-12-2021","140.65","144.70","144.95","140.00","19.47M","-1.40%"
"13-12-2021","142.65","142.20","144.45","141.90","20.32M","1.49%"
"10-12-2021","140.55","144.10","146.40","139.75","27.88M","-3.90%"
"09-12-2021","146.25","148.65","148.65","145.30","18.38M","-0.91%"
"08-12-2021","147.60","141.00","148.60","140.25","37.32M","5.58%"
"07-12-2021","139.80","141.35","143.80","138.65","36.84M","0.90%"
"06-12-2021","138.55","146.60","146.85","135.30","33.25M","-4.38%"
"03-12-2021","144.90","152.10","152.80","143.85","26.45M","-3.82%"
"02-12-2021","150.65","151.60","153.80","147.80","23.51M","-0.50%"
"01-12-2021","151.40","153.00","157.90","149.45","32.61M","-0.75%"
"30-11-2021","152.55","149.95","158.00","145.30","258.13M","2.31%"
"29-11-2021","149.10","148.80","153.90","137.50","43.97M","0.64%"
"26-11-2021","148.15","158.45","158.45","146.25","35.97M","-7.26%"
"25-11-2021","159.75","157.00","161.30","154.05","48.90M","2.73%"
"24-11-2021","155.50","151.10","156.40","149.60","53.75M","4.57%"
"23-11-2021","148.70","150.00","152.00","144.25","38.24M","-0.70%"
"22-11-2021","149.75","158.25","158.25","136.80","79.42M","-3.20%"
"18-11-2021","154.70","158.90","161.85","152.50","46.80M","-1.18%"
"17-11-2021","156.55","155.95","162.25","154.25","44.51M","-0.67%"
"16-11-2021","157.60","161.15","169.00","153.80","109.34M","-1.68%"
"15-11-2021","160.30","149.00","163.30","142.35","121.20M","4.77%"
"12-11-2021","153.00","142.00","155.20","142.00","140.55M","8.59%"
"11-11-2021","140.90","142.00","144.00","132.60","83.58M","3.56%"
"10-11-2021","136.05","136.50","139.15","135.00","16.82M","-1.16%"
"09-11-2021","137.65","133.00","138.90","131.65","26.46M","4.96%"
"08-11-2021","131.15","132.95","133.60","130.60","17.65M","-0.15%"
"04-11-2021","131.35","130.00","132.40","130.00","4.10M","2.34%"
"03-11-2021","128.35","132.90","132.90","127.50","15.92M","-3.10%"
"02-11-2021","132.45","132.70","133.60","131.75","7.37M","-0.15%"
"01-11-2021","132.65","133.60","134.30","132.00","6.20M","0.84%"
"29-10-2021","131.55","135.00","135.00","130.50","12.93M","-2.99%"
